nvec,"Intra-cluster mean diff","Intra-cluster std dev diff","Inter-cluster mean diff","Inter-cluster std dev diff"
10,0.00057822757208,0.00013313539524,0.00060771511402,0.00012834521375
20,0.00053989151418,0.00011230480442,0.00057071502171,0.00010657233703
30,0.00051314583013,0.00010186410909,0.0005471270193,9.70977767991549E-05
40,0.00049328394306,9.6005066536927E-05,0.00053073493758,9.05263207683275E-05
50,0.00048167769738,9.78799832026781E-05,0.00052217808014,9.00500018990401E-05
60,0.00047736077579,9.90957346340536E-05,0.00052446787327,8.90396359078835E-05
70,0.00048429964145,0.00010437130181,0.00054337467023,9.13468533203566E-05
80,0.00049698474616,0.0001146101302,0.00057527440798,9.87382668144129E-05
90,0.00050739063778,0.00012461586153,0.00060598309512,0.00010715452752
100,0.00051444919994,0.00013103323278,0.00062825080812,0.00011254227519
110,0.00051847479709,0.00013439444701,0.0006414186189,0.00011445130165
120,0.00051966570468,0.00013657065368,0.00064698758168,0.00011509439367
130,0.00052102273559,0.00013753729046,0.00064883551509,0.00011571647583
140,0.00051936473682,0.00013701610201,0.00064714659738,0.00011449384456
150,0.0005162692396,0.0001363496749,0.00064487350342,0.00011406530065
160,0.0005178186266,0.00013846817944,0.00064615761792,0.00011520106469
